mean_price,mean_rating,mean_reviews,category,type
0.0,4.34,23230.11,ART_AND_DESIGN,Free
1.99,4.73,722.0,ART_AND_DESIGN,Paid
0.0,4.18,14140.28,AUTO_AND_VEHICLES,Free
4.49,4.6,1387.67,AUTO_AND_VEHICLES,Paid
0.0,4.28,7476.23,BEAUTY,Free
0.0,4.35,86183.08,BOOKS_AND_REFERENCE,Free
4.28,4.28,64.14,BOOKS_AND_REFERENCE,Paid
0.0,4.1,24179.2,BUSINESS,Free
14.61,4.08,2094.33,BUSINESS,Paid
0.0,4.18,41822.7,COMICS,Free
0.0,4.13,992108.17,COMMUNICATION,Free
3.08,4.06,3119.04,COMMUNICATION,Paid
0.0,3.98,21951.13,DATING,Free
4.57,3.43,268.0,DATING,Paid
0.0,4.35,115908.72,EDUCATION,Free
4.49,4.75,8661.25,EDUCATION,Paid
0.0,4.13,347526.41,ENTERTAINMENT,Free
3.99,4.6,5004.5,ENTERTAINMENT,Paid
0.0,4.44,2555.84,EVENTS,Free
109.99,,0.0,EVENTS,Paid
0.0,4.17,85068.52,FAMILY,Free
13.11,4.28,19850.12,FAMILY,Paid
0.0,4.13,38533.26,FINANCE,Free
170.64,3.83,1364.59,FINANCE,Paid
0.0,4.17,57469.37,FOOD_AND_DRINK,Free
4.24,4.35,1698.5,FOOD_AND_DRINK,Paid
0.0,4.24,707783.19,GAME,Free
3.47,4.37,19181.11,GAME,Paid
0.0,4.24,78078.98,HEALTH_AND_FITNESS,Free
4.29,4.39,3052.87,HEALTH_AND_FITNESS,Paid
0.0,4.15,26079.01,HOUSE_AND_HOME,Free
0.0,4.18,10925.63,LIBRARIES_AND_DEMO,Free
0.99,,4.0,LIBRARIES_AND_DEMO,Paid
0.0,4.08,33672.14,LIFESTYLE,Free
124.26,4.25,2495.89,LIFESTYLE,Paid
0.0,4.04,140650.48,MAPS_AND_NAVIGATION,Free
5.39,3.86,1437.6,MAPS_AND_NAVIGATION,Paid
0.0,4.15,3727.45,MEDICAL,Free
12.0,4.23,241.04,MEDICAL,Paid
0.0,4.11,91785.82,NEWS_AND_MAGAZINES,Free
1.99,4.8,100.5,NEWS_AND_MAGAZINES,Paid
0.0,4.34,16378.71,PARENTING,Free
4.79,3.35,4183.0,PARENTING,Paid
0.0,4.3,180508.23,PERSONALIZATION,Free
1.86,4.45,3619.17,PERSONALIZATION,Paid
0.0,4.17,401664.27,PHOTOGRAPHY,Free
6.23,4.01,6064.79,PHOTOGRAPHY,Paid
0.0,4.18,160170.31,PRODUCTIVITY,Free
8.96,4.21,6132.89,PRODUCTIVITY,Paid
0.0,4.23,222756.23,SHOPPING,Free
2.74,4.5,242.0,SHOPPING,Paid
0.0,4.25,965794.74,SOCIAL,Free
5.32,3.7,80.67,SOCIAL,Paid
0.0,4.21,116937.47,SPORTS,Free
4.17,4.25,6276.46,SPORTS,Paid
0.0,4.03,305987.5,TOOLS,Free
3.43,4.17,2204.32,TOOLS,Paid
0.0,4.07,129476.66,TRAVEL_AND_LOCAL,Free
4.16,4.1,1506.08,TRAVEL_AND_LOCAL,Paid
0.0,4.04,424347.18,VIDEO_PLAYERS,Free
2.62,4.1,3341.75,VIDEO_PLAYERS,Paid
0.0,4.23,171249.62,WEATHER,Free
4.05,4.37,17055.12,WEATHER,Paid
